depth_nm,total_p_cm3,active_p_cm3,inactive_p_cm3
7.951031494140629547e+02,4.172608438272002441e+12,4.172608438272002441e+12,0.000000000000000000e+00
8.011702880859379547e+02,4.172608438272002441e+12,4.172608438272002441e+12,0.000000000000000000e+00
8.016999999999999318e+02,4.172608438272002441e+12,4.172608438272002441e+12,0.000000000000000000e+00
8.072375488281250000e+02,4.172608438272002441e+12,4.172608438272002441e+12,0.000000000000000000e+00
8.116999999999999318e+02,4.172608438272002441e+12,4.172608438272002441e+12,0.000000000000000000e+00
8.133047485351560226e+02,4.172608438272002441e+12,4.172608438272002441e+12,0.000000000000000000e+00
8.193718872070310226e+02,4.172608438272002441e+12,4.172608438272002441e+12,0.000000000000000000e+00
8.226999999999999318e+02,4.172608438272002441e+12,4.172608438272002441e+12,0.000000000000000000e+00
8.254391479492189774e+02,4.172608438272002441e+12,4.172608438272002441e+12,0.000000000000000000e+00
8.315062866210939774e+02,4.172608438272002441e+12,4.172608438272002441e+12,0.000000000000000000e+00
8.350999999999999091e+02,4.172608438272002441e+12,4.172608438272002441e+12,0.000000000000000000e+00
8.375734863281250000e+02,4.172608438272002441e+12,4.172608438272002441e+12,0.000000000000000000e+00
8.436407470703129547e+02,4.172608438272002441e+12,4.172608438272002441e+12,0.000000000000000000e+00
8.440999999999999091e+02,4.172608438272002441e+12,4.172608438272002441e+12,0.000000000000000000e+00
8.497078857421879547e+02,4.172608438272002441e+12,4.172608438272002441e+12,0.000000000000000000e+00
8.537000000000000455e+02,4.172608438272002441e+12,4.172608438272002441e+12,0.000000000000000000e+00
8.557751464843750000e+02,4.172608438272002441e+12,4.172608438272002441e+12,0.000000000000000000e+00
8.618422851562500000e+02,4.172608438272002441e+12,4.172608438272002441e+12,0.000000000000000000e+00
8.640000000000000000e+02,4.172608438272002441e+12,4.172608438272002441e+12,0.000000000000000000e+00
8.679094848632810226e+02,4.172608438272002441e+12,4.172608438272002441e+12,0.000000000000000000e+00
8.733999999999999773e+02,4.172608438272002441e+12,4.172608438272002441e+12,0.000000000000000000e+00
8.739767456054689774e+02,4.172608438272002441e+12,4.172608438272002441e+12,0.000000000000000000e+00
8.800438842773439774e+02,4.172608438272002441e+12,4.172608438272002441e+12,0.000000000000000000e+00
8.838000000000000682e+02,4.172608438272002441e+12,4.172608438272002441e+12,0.000000000000000000e+00
8.861110839843750000e+02,4.172608438272002441e+12,4.172608438272002441e+12,0.000000000000000000e+00
8.921783447265629547e+02,4.172608438272002441e+12,4.172608438272002441e+12,0.000000000000000000e+00
