depth_nm,total_p_cm3,active_p_cm3,inactive_p_cm3
8.953999999999999773e+02,4.172608438272002441e+12,4.172608438272002441e+12,0.000000000000000000e+00
8.982454833984379547e+02,4.172608438272002441e+12,4.172608438272002441e+12,0.000000000000000000e+00
9.043126220703129547e+02,4.172608438272002441e+12,4.172608438272002441e+12,0.000000000000000000e+00
9.043999999999999773e+02,4.172608438272002441e+12,4.172608438272002441e+12,0.000000000000000000e+00
9.103798828125000000e+02,4.172608438272002441e+12,4.172608438272002441e+12,0.000000000000000000e+00
9.159000000000000909e+02,4.172608438272002441e+12,4.172608438272002441e+12,0.000000000000000000e+00
9.164470825195310226e+02,4.172608438272002441e+12,4.172608438272002441e+12,0.000000000000000000e+00
9.225142822265629547e+02,4.172608438272002441e+12,4.172608438272002441e+12,0.000000000000000000e+00
9.255000000000000000e+02,4.172608438272002441e+12,4.172608438272002441e+12,0.000000000000000000e+00
9.285814819335939774e+02,4.172608438272002441e+12,4.172608438272002441e+12,0.000000000000000000e+00
9.346486206054689774e+02,4.172608438272002441e+12,4.172608438272002441e+12,0.000000000000000000e+00
9.367999999999999545e+02,4.172608438272002441e+12,4.172608438272002441e+12,0.000000000000000000e+00
9.407158813476560226e+02,4.172608438272002441e+12,4.172608438272002441e+12,0.000000000000000000e+00
9.453999999999999773e+02,4.172608438272002441e+12,4.172608438272002441e+12,0.000000000000000000e+00
9.467830810546879547e+02,4.172608438272002441e+12,4.172608438272002441e+12,0.000000000000000000e+00
9.528502197265629547e+02,4.172608438272002441e+12,4.172608438272002441e+12,0.000000000000000000e+00
9.567000000000000455e+02,4.172608438272002441e+12,4.172608438272002441e+12,0.000000000000000000e+00
9.589174804687500000e+02,4.172608438272002441e+12,4.172608438272002441e+12,0.000000000000000000e+00
9.649846801757810226e+02,4.172608438272002441e+12,4.172608438272002441e+12,0.000000000000000000e+00
9.683000000000000682e+02,4.172608438272002441e+12,4.172608438272002441e+12,0.000000000000000000e+00
9.710518188476560226e+02,4.172608438272002441e+12,4.172608438272002441e+12,0.000000000000000000e+00
9.771190795898439774e+02,4.172608438272002441e+12,4.172608438272002441e+12,0.000000000000000000e+00
9.774000000000000909e+02,4.172608438272002441e+12,4.172608438272002441e+12,0.000000000000000000e+00
9.831862182617189774e+02,4.172608438272002441e+12,4.172608438272002441e+12,0.000000000000000000e+00
9.871999999999999318e+02,4.172608438272002441e+12,4.172608438272002441e+12,0.000000000000000000e+00
9.892534179687500000e+02,4.172608438272002441e+12,4.172608438272002441e+12,0.000000000000000000e+00
9.953206176757810226e+02,4.172608438272002441e+12,4.172608438272002441e+12,0.000000000000000000e+00
9.966000000000000227e+02,4.172608438272002441e+12,4.172608438272002441e+12,0.000000000000000000e+00
1.001387817382809999e+03,4.172608438272002441e+12,4.172608438272002441e+12,0.000000000000000000e+00
1.007455078125000000e+03,4.172608438272002441e+12,4.172608438272002441e+12,0.000000000000000000e+00
1.013522216796880002e+03,4.172608438272002441e+12,4.172608438272002441e+12,0.000000000000000000e+00
1.019589355468750000e+03,4.172608438272002441e+12,4.172608438272002441e+12,0.000000000000000000e+00
1.025656616210940001e+03,4.172608438272002441e+12,4.172608438272002441e+12,0.000000000000000000e+00
1.031723754882809999e+03,4.172608438272002441e+12,4.172608438272002441e+12,0.000000000000000000e+00
1.037791015625000000e+03,4.172608438272002441e+12,4.172608438272002441e+12,0.000000000000000000e+00
1.043858276367190001e+03,4.172608438272002441e+12,4.172608438272002441e+12,0.000000000000000000e+00
1.049925415039059999e+03,4.172608438272002441e+12,4.172608438272002441e+12,0.000000000000000000e+00
1.055992553710940001e+03,4.172608438272002441e+12,4.172608438272002441e+12,0.000000000000000000e+00
1.062059814453130002e+03,4.172608438272002441e+12,4.172608438272002441e+12,0.000000000000000000e+00
1.068127075195309999e+03,4.172608438272002441e+12,4.172608438272002441e+12,0.000000000000000000e+00
1.074194335937500000e+03,4.172608438272002441e+12,4.172608438272002441e+12,0.000000000000000000e+00
1.080261352539059999e+03,4.172608438272002441e+12,4.172608438272002441e+12,0.000000000000000000e+00
1.086328613281250000e+03,4.172608438272002441e+12,4.172608438272002441e+12,0.000000000000000000e+00
1.092395874023440001e+03,4.172608438272002441e+12,4.172608438272002441e+12,0.000000000000000000e+00
1.098463012695309999e+03,4.172608438272002441e+12,4.172608438272002441e+12,0.000000000000000000e+00
1.104530151367190001e+03,4.172608438272002441e+12,4.172608438272002441e+12,0.000000000000000000e+00
1.110597412109380002e+03,4.172608438272002441e+12,4.172608438272002441e+12,0.000000000000000000e+00
1.116664672851559999e+03,4.172608438272002441e+12,4.172608438272002441e+12,0.000000000000000000e+00
1.122731811523440001e+03,4.172608438272002441e+12,4.172608438272002441e+12,0.000000000000000000e+00
1.128798950195309999e+03,4.172608438272002441e+12,4.172608438272002441e+12,0.000000000000000000e+00
1.134866210937500000e+03,4.172608438272002441e+12,4.172608438272002441e+12,0.000000000000000000e+00
1.140933349609380002e+03,4.172608438272002441e+12,4.172608438272002441e+12,0.000000000000000000e+00
1.147000610351559999e+03,4.172608438272002441e+12,4.172608438272002441e+12,0.000000000000000000e+00
1.153067749023440001e+03,4.172608438272002441e+12,4.172608438272002441e+12,0.000000000000000000e+00
1.159135009765630002e+03,4.172608438272002441e+12,4.172608438272002441e+12,0.000000000000000000e+00
1.165202148437500000e+03,4.172608438272002441e+12,4.172608438272002441e+12,0.000000000000000000e+00
1.171269409179690001e+03,4.172608438272002441e+12,4.172608438272002441e+12,0.000000000000000000e+00
1.177336669921880002e+03,4.172608438272002441e+12,4.172608438272002441e+12,0.000000000000000000e+00
